normalized_stock_code,observed_stock_code,row_count,distinct_description_count,missing_description_rows,min_description,max_description,first_seen,last_seen
85036A,85036A,66,1,1,GARDENIA 1 WICK MORRIS BOXED CANDLE,GARDENIA 1 WICK MORRIS BOXED CANDLE,2010-12-06 12:41:00,2011-11-16 10:23:00
85036A,85036a,1,1,0,GARDENIA 1 WICK MORRIS BOXED CANDLE,GARDENIA 1 WICK MORRIS BOXED CANDLE,2011-07-12 13:46:00,2011-07-12 13:46:00
85036B,85036B,52,3,0,CHOCOLATE 1 WICK MORRIS BOX CANDLE,damages wax,2010-12-03 15:45:00,2011-11-17 15:16:00
85036B,85036b,1,1,0,CHOCOLATE 1 WICK MORRIS BOX CANDLE,CHOCOLATE 1 WICK MORRIS BOX CANDLE,2010-12-03 11:28:00,2010-12-03 11:28:00
85039A,85039A,163,1,0,SET/4 RED MINI ROSE CANDLE IN BOWL,SET/4 RED MINI ROSE CANDLE IN BOWL,2010-12-01 14:32:00,2011-12-09 10:03:00
85039A,85039a,29,1,0,SET/4 RED MINI ROSE CANDLE IN BOWL,SET/4 RED MINI ROSE CANDLE IN BOWL,2010-12-03 11:13:00,2011-12-08 10:53:00
85040A,85040A,177,1,0,S/4 PINK FLOWER CANDLES IN BOWL,S/4 PINK FLOWER CANDLES IN BOWL,2010-12-07 18:36:00,2011-12-09 10:03:00
85040A,85040a,21,1,0,S/4 PINK FLOWER CANDLES IN BOWL,S/4 PINK FLOWER CANDLES IN BOWL,2011-01-18 14:59:00,2011-11-30 15:33:00
85049A,85049A,329,1,0,TRADITIONAL CHRISTMAS RIBBONS,TRADITIONAL CHRISTMAS RIBBONS,2010-12-01 09:56:00,2011-12-09 12:20:00
85049A,85049a,36,1,0,TRADITIONAL CHRISTMAS RIBBONS,TRADITIONAL CHRISTMAS RIBBONS,2010-12-03 14:27:00,2011-12-09 10:26:00
85049B,85049B,16,2,2,Amazon,LUSH GREENS RIBBONS,2010-12-03 10:33:00,2011-09-16 10:15:00
85049B,85049b,2,1,0,LUSH GREENS RIBBONS,LUSH GREENS RIBBONS,2011-03-29 13:44:00,2011-09-20 14:46:00
85049C,85049C,229,1,0,ROMANTIC PINKS RIBBONS,ROMANTIC PINKS RIBBONS,2010-12-01 11:29:00,2011-12-09 10:03:00
85049C,85049c,1,1,0,ROMANTIC PINKS RIBBONS,ROMANTIC PINKS RIBBONS,2011-11-23 11:11:00,2011-11-23 11:11:00
85049D,85049D,114,2,4,?,BRIGHT BLUES RIBBONS,2010-12-01 11:29:00,2011-10-06 17:51:00
85049D,85049d,2,1,0,BRIGHT BLUES RIBBONS,BRIGHT BLUES RIBBONS,2011-03-29 13:44:00,2011-05-10 15:06:00
85049E,85049E,417,1,0,SCANDINAVIAN REDS RIBBONS,SCANDINAVIAN REDS RIBBONS,2010-12-01 11:21:00,2011-12-09 12:20:00
85049E,85049e,42,1,0,SCANDINAVIAN REDS RIBBONS,SCANDINAVIAN REDS RIBBONS,2010-12-03 14:27:00,2011-12-09 10:26:00
85049G,85049G,270,1,0,CHOCOLATE BOX RIBBONS,CHOCOLATE BOX RIBBONS,2010-12-01 11:29:00,2011-12-09 10:03:00
85049G,85049g,51,1,0,CHOCOLATE BOX RIBBONS,CHOCOLATE BOX RIBBONS,2010-12-21 15:40:00,2011-12-09 10:23:00
85099F,85099F,834,1,2,JUMBO BAG STRAWBERRY,JUMBO BAG STRAWBERRY,2010-12-01 11:45:00,2011-12-08 16:30:00
85099F,85099f,10,1,0,JUMBO BAG STRAWBERRY,JUMBO BAG STRAWBERRY,2010-12-03 14:27:00,2011-01-11 14:42:00
85114A,85114A,56,1,0,BLACK ENCHANTED FOREST PLACEMAT,BLACK ENCHANTED FOREST PLACEMAT,2010-12-01 17:06:00,2011-12-01 19:42:00
85114A,85114a,15,1,0,BLACK ENCHANTED FOREST PLACEMAT,BLACK ENCHANTED FOREST PLACEMAT,2010-12-14 15:56:00,2011-06-08 15:25:00
85114B,85114B,78,1,0,IVORY ENCHANTED FOREST PLACEMAT,IVORY ENCHANTED FOREST PLACEMAT,2010-12-01 13:17:00,2011-12-08 16:30:00
85114B,85114b,14,1,0,IVORY ENCHANTED FOREST PLACEMAT,IVORY ENCHANTED FOREST PLACEMAT,2010-12-21 15:18:00,2011-12-08 10:53:00
85114C,85114C,78,1,0,RED ENCHANTED FOREST PLACEMAT,RED ENCHANTED FOREST PLACEMAT,2010-12-01 13:17:00,2011-12-09 10:03:00
85114C,85114c,35,1,0,RED ENCHANTED FOREST PLACEMAT,RED ENCHANTED FOREST PLACEMAT,2010-12-07 15:33:00,2011-12-05 11:58:00
85123A,85123A,2301,4,0,?,wrongly marked carton 22804,2010-12-01 08:26:00,2011-12-09 11:34:00
85123A,85123a,67,1,0,WHITE HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,2010-12-03 14:27:00,2011-12-08 10:53:00
85132A,85132A,113,2,0,CHARLIE + LOLA BISCUITS TINS,damaged,2010-12-01 14:32:00,2011-05-24 12:16:00
85132A,85132a,8,1,0,CHARLIE + LOLA BISCUITS TINS,CHARLIE + LOLA BISCUITS TINS,2010-12-07 15:34:00,2011-05-10 15:09:00
85132B,85132B,76,1,1,CHARLIE AND LOLA TABLE TINS,CHARLIE AND LOLA TABLE TINS,2010-12-02 12:33:00,2011-06-28 11:03:00
85132B,85132b,9,1,0,CHARLIE AND LOLA TABLE TINS,CHARLIE AND LOLA TABLE TINS,2011-04-15 10:37:00,2011-06-21 16:36:00
85132C,85132C,217,2,0,CHARLIE AND LOLA FIGURES TINS,damages,2010-12-02 12:33:00,2011-09-02 09:38:00
85132C,85132c,3,1,0,CHARLIE AND LOLA FIGURES TINS,CHARLIE AND LOLA FIGURES TINS,2011-03-15 14:19:00,2011-04-26 09:50:00
85160A,85160A,2,1,1,WHITE BIRD GARDEN DESIGN MUG,WHITE BIRD GARDEN DESIGN MUG,2011-01-25 17:10:00,2011-03-04 11:45:00
85160A,85160a,1,1,0,WHITE BIRD GARDEN DESIGN MUG,WHITE BIRD GARDEN DESIGN MUG,2010-12-21 15:18:00,2010-12-21 15:18:00
85179A,85179A,59,1,0,GREEN BITTY LIGHT CHAIN,GREEN BITTY LIGHT CHAIN,2010-12-05 12:53:00,2011-12-09 10:03:00
85179A,85179a,1,1,0,GREEN BITTY LIGHT CHAIN,GREEN BITTY LIGHT CHAIN,2011-11-29 11:23:00,2011-11-29 11:23:00
85184C,85184C,194,2,0,S/4 VALENTINE DECOUPAGE HEART BOX,SET 4 VALENTINE DECOUPAGE HEART BOX,2010-12-01 11:49:00,2011-12-08 16:30:00
85184C,85184c,2,1,0,SET 4 VALENTINE DECOUPAGE HEART BOX,SET 4 VALENTINE DECOUPAGE HEART BOX,2011-08-24 09:36:00,2011-10-26 14:42:00
85231B,85231B,155,1,0,CINAMMON SET OF 9 T-LIGHTS,CINAMMON SET OF 9 T-LIGHTS,2010-12-01 12:23:00,2011-12-08 13:50:00
85231B,85231b,3,1,0,CINAMMON SET OF 9 T-LIGHTS,CINAMMON SET OF 9 T-LIGHTS,2010-12-21 15:17:00,2011-04-15 10:40:00
85231G,85231G,85,3,0,ORANGE SCENTED SET/9 T-LIGHTS,check,2010-12-01 12:23:00,2011-11-22 09:55:00
85231G,85231g,6,1,0,ORANGE SCENTED SET/9 T-LIGHTS,ORANGE SCENTED SET/9 T-LIGHTS,2011-01-14 10:12:00,2011-05-10 15:09:00
90183C,90183C,9,1,0,BLACK DROP EARRINGS W LONG BEADS,BLACK DROP EARRINGS W LONG BEADS,2011-01-28 14:25:00,2011-12-09 10:03:00
90183C,90183c,1,1,0,BLACK DROP EARRINGS W LONG BEADS,BLACK DROP EARRINGS W LONG BEADS,2011-10-31 14:41:00,2011-10-31 14:41:00
90184C,90184C,17,1,0,BLACK CHUNKY BEAD BRACELET W STRAP,BLACK CHUNKY BEAD BRACELET W STRAP,2010-12-06 16:57:00,2011-12-09 10:03:00
90184C,90184c,1,1,0,BLACK CHUNKY BEAD BRACELET W STRAP,BLACK CHUNKY BEAD BRACELET W STRAP,2011-10-31 14:41:00,2011-10-31 14:41:00
M,M,566,1,0,Manual,Manual,2010-12-01 15:35:00,2011-12-09 10:28:00
M,m,1,1,0,Manual,Manual,2010-12-21 15:18:00,2010-12-21 15:18:00
